,name,calories,total_fat,protein,carbohydrate
410,"Fish, raw, cisco",98,1.9g,18.99 g,0.00 g
411,"Couscous, cooked",112,0.2g,3.79 g,23.22 g
412,"Dill weed, fresh",43,1.1g,3.46 g,7.02 g
413,"Spearmint, dried",285,6g,19.93 g,52.04 g
414,"Spearmint, fresh",44,0.7g,3.29 g,8.41 g
415,Tamales (Navajo),153,6.1g,6.28 g,18.12 g
416,"Rice bran, crude",316,21g,13.35 g,49.69 g
417,"Rye flour, light",357,1.3g,9.82 g,76.68 g
418,"Spices, bay leaf",313,8.4g,7.61 g,74.97 g
419,"Spices, cardamom",311,6.7g,10.76 g,68.47 g
420,"Lemon juice, raw",22,0.2g,0.35 g,6.90 g
421,"Ginger root, raw",80,0.8g,1.82 g,17.77 g
422,"Fish oil, salmon",902,100g,0.00 g,0.00 g
423,"Fish, tuna salad",187,9.3g,16.04 g,9.41 g
424,"Orange peel, raw",97,0.2g,1.50 g,25.00 g
425,"Blueberries, raw",57,0.3g,0.74 g,14.49 g
426,"Cheese, muenster",368,30g,23.41 g,1.12 g
427,"Beet greens, raw",22,0.1g,2.20 g,4.33 g
428,"Cheese, cheshire",387,31g,23.37 g,4.78 g
429,"Bagels, oat bran",255,1.2g,10.70 g,53.30 g
